yourlist:M20180720A7434721E10EE6586998A056CCD0537E950530A	isomap:M20180720A7434721E10EE6586998A056CCD0537E950530A	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
y0146		Q0WB76	Q0WB76_YERPE	unreviewed	Phospholipid ABC transporter ATP-binding protein MlaF (Putative ABC transporter ATP-binding protein) (Putative ATP-binding component of ABC transport system)	y0146 YP_3830 C6P89_07300	Yersinia pestis	WP_002210121.1;
y0153		Q0WB70	Q0WB70_YERPE	unreviewed	Lipopolysaccharide ABC transporter ATP-binding protein (Putative ABC transporter ATP-binding protein) (Putative ATP-binding component of ABC transport system)	y0153 YP_3836 C6P89_07270	Yersinia pestis	WP_002210116.1;
y0184		Q8D1P7	Q8D1P7_YERPE	unreviewed	Putative toxin subunit (Toxin)	tcbA y0184 YP_3865 C6P89_07120	Yersinia pestis	WP_002220204.1;
y0185		Q8D1P6	Q8D1P6_YERPE	unreviewed	Putative toxin subunit	tcaC1 y0185	Yersinia pestis	
y0202		A0A0H2W9J4	A0A0H2W9J4_YERPE	unreviewed	Regulator of ftsI, penicillin binding protein 3 (Rod shape-determining protein) (Rod shape-determining protein MreB)	mreB y0202 YP_3881 C6P89_07045	Yersinia pestis	WP_002228205.1;
y0209		Q0WAZ4	Q0WAZ4_YERPE	unreviewed	Acetyl CoA carboxylase, biotin carboxylase subunit (Acetyl-CoA carboxylase biotin carboxylase subunit) (Biotin carboxylase)	accC accC2 y0209 YP_3888 C6P89_07010	Yersinia pestis	WP_002210069.1;
y0329		A0A0H2W745	A0A0H2W745_YERPE	unreviewed	Putative ATP-binding component of ATP transport system (Putative sugar transport system ATP-binding protein) (Sugar ABC transporter ATP-binding protein)	mglA6 y0329 YP_3141 C6P89_10525	Yersinia pestis	WP_002212023.1;
y0363		Q8D1K6	Q8D1K6_YERPE	unreviewed	ECA polysaccharide chain length modulation protein	wzzE y0363	Yersinia pestis	
y0378		A0A0H2W784	A0A0H2W784_YERPE	unreviewed	HemY protein (Protoheme IX biogenesis protein HemY) (Putative protoheme IX biogenesis protein)	hemY2 hemY y0378 YP_3194 C6P89_17565	Yersinia pestis	WP_002211462.1;
y0379		Q8D1K1	Q8D1K1_YERPE	unreviewed	Uroporphyrinogen III methylase	hemX y0379 YP_3195	Yersinia pestis	
y0393		Q8ZAG5	CORA_YERPE	reviewed	Magnesium transport protein CorA	corA YPO3837 y0393 YP_3211	Yersinia pestis	WP_002211480.1;YP_002348715.1;
y0407		A0A0H2W6N9	A0A0H2W6N9_YERPE	unreviewed	DUF1795 domain-containing protein (Putative lipoprotein)	y0407 YP_3225 C6P89_19800	Yersinia pestis	WP_002211494.1;
y0410		Q8D1J3	Q8D1J3_YERPE	unreviewed	Zinc, lead, cadmium, and mercury transporting ATPase	zntA y0410	Yersinia pestis	WP_002231925.1;
y0416		Q8D1J2	Q8D1J2_YERPE	unreviewed	Signal recognition particle receptor FtsY (SRP receptor)	ftsY y0416	Yersinia pestis	WP_002224010.1;
y0418		Q0WAJ9	Q0WAJ9_YERPE	unreviewed	Cell division protein FtsX	ftsX y0418 YP_3237 C6P89_19740	Yersinia pestis	WP_002211505.1;
y0442		Q8ZAL3	METE_YERPE	reviewed	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE YPO3788 y0442 YP_3261	Yersinia pestis	WP_002211526.1;YP_002348665.1;
y0448		Q8ZAL8	RMUC_YERPE	reviewed	DNA recombination protein RmuC homolog	rmuC rumC YPO3782 y0448 YP_3267	Yersinia pestis	WP_010981428.1;YP_002348659.1;
y0539		Q56993	HMUV_YERPE	reviewed	Hemin import ATP-binding protein HmuV (EC 3.6.3.-)	hmuV YPO0279 y0539 YP_0434	Yersinia pestis	WP_002209058.1;YP_002345361.1;
y0555		Q8D1F8	Q8D1F8_YERPE	unreviewed	Putative tellurium resistance protein (Tellurium resistance protein)	terZ y0555 YP_0452	Yersinia pestis	
y0632		Q0WJT6	Q0WJT6_YERPE	unreviewed	GTPase HflX (GTP-binding protein HflX)	hflX y0632 YP_0530 C6P89_05455	Yersinia pestis	WP_002209152.1;
y0633		A0A0H2W1N3	A0A0H2W1N3_YERPE	unreviewed	Protein HflK	hflK y0633 YP_0531 C6P89_05460	Yersinia pestis	WP_002209154.1;
y0634		A0A0H2W2L4	A0A0H2W2L4_YERPE	unreviewed	Protein HflC	hflC1 hflC y0634 YP_0532 C6P89_05465	Yersinia pestis	WP_002209155.1;
y0661		Q0WBC6	Q0WBC6_YERPE	unreviewed	Putative exported protein (Translocation and assembly module TamB)	y0661 YP_0560 C6P89_02250	Yersinia pestis	WP_002210167.1;
y0664		Q0WBC9	F16PA_YERPE	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp YPO3520 y0664 YP_0563	Yersinia pestis	WP_002216946.1;YP_002348409.1;
y0678		A0A0H2W1R1	A0A0H2W1R1_YERPE	unreviewed	D-alanyl-D-alanine carboxypeptidase, fraction B (Penicillin-binding protein 4) (Serine-type D-Ala-D-Ala carboxypeptidase) (EC 3.4.16.4) (EC 3.4.21.-)	dacB y0678 YP_0577 C6P89_02160	Yersinia pestis	WP_002217314.1;
y0682		Q8D1D4	Q8D1D4_YERPE	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	hflB ftsH y0682 YP_0581	Yersinia pestis	
y0685		Q0WBF0	Q0WBF0_YERPE	unreviewed	Preprotein translocase subunit SecG (Protein-export membrane protein)	secG y0685 YP_0584 C6P89_02125	Yersinia pestis	WP_002210190.1;
y0695		Q7CKI5	NLPI_YERPE	reviewed	Lipoprotein NlpI	nlpI YPO3489 YP_0594 y0695	Yersinia pestis	WP_002209260.1;YP_002348378.1;
y0702		A0A0H2W3A3	A0A0H2W3A3_YERPE	unreviewed	Acridine efflux pump (Efflux RND transporter periplasmic adaptor subunit) (Multidrug efflux protein)	acrA2 acrA y0702 YP_0600 C6P89_02035	Yersinia pestis	WP_002209266.1;
y0704		A0A0H2W1S5	A0A0H2W1S5_YERPE	unreviewed	Putative outer membrane efflux lipoprotein (Putative outer membrane protein, efflux pump) (TolC family protein)	ibeB y0704 YP_0602 C6P89_02025	Yersinia pestis	WP_002209268.1;
y0735		Q8D1C2	Q8D1C2_YERPE	unreviewed	Putative ATP-binding component of dipeptide transport system	dppD dppD1 y0735 YP_0633	Yersinia pestis	
y0795		Q8D1A6	Q8D1A6_YERPE	unreviewed	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase)	mrcB y0795	Yersinia pestis	
y0827		Q8ZBP5	FTSB_YERPE	reviewed	Cell division protein FtsB	ftsB YPO3362 y0827 YP_0325	Yersinia pestis	WP_002209390.1;YP_002348255.1;
y0833		A0A0H2W268	A0A0H2W268_YERPE	unreviewed	Lipoprotein (Murein hydrolase activator NlpD)	nlpD2 nlpD y0833 YP_0331 C6P89_00375	Yersinia pestis	WP_002228228.1;
y0835		Q8ZBQ3	MUTS_YERPE	reviewed	DNA mismatch repair protein MutS	mutS YPO3354 y0835 YP_0333	Yersinia pestis	WP_002209399.1;YP_002348247.1;
y0911		Q0WC10	Q0WC10_YERPE	unreviewed	Outer membrane protein assembly factor BamD	nrfG1 bamD y0911 YP_0653 C6P89_21960	Yersinia pestis	WP_002209469.1;
y0923		Q8CWH7	Q8CWH7_YERPE	unreviewed	MarR-family transcriptional regulatory protein (Regulator of plasmid mcrB operon (Microcin B17 synthesis))	emrR y0923 YP_0666	Yersinia pestis	
y0951		Q8ZBZ0	NQRA_YERPE	reviewed	Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 1.6.5.8) (NQR complex subunit A) (NQR-1 subunit A)	nqrA YPO3240 y0951 YP_0693	Yersinia pestis	WP_002208717.1;YP_002348142.1;
y0992		Q8D164	Q8D164_YERPE	unreviewed	Putative membrane protein	yajC y0992 YP_0741	Yersinia pestis	
y0993		Q8D163	Q8D163_YERPE	unreviewed	Protein translocase subunit SecD	secD y0993	Yersinia pestis	WP_002232174.1;
y1021		A0A0H2W2A3	A0A0H2W2A3_YERPE	unreviewed	Ubiquinol oxidase subunit 2	cyoA y1021 YP_0767 C6P89_06940	Yersinia pestis	WP_002208649.1;
y1021		A0A1U8QPF6	A0A1U8QPF6_YERPE	unreviewed	Uncharacterized protein	Y1021 YP_pMT034 C6P89_16120	Yersinia pestis	NP_857668.1;WP_002214131.1;YP_093910.1;
y1024		A0A1U8QVB7	A0A1U8QVB7_YERPE	unreviewed	Uncharacterized protein	Y1024 YP_pMT031	Yersinia pestis	WP_011172028.1;YP_093907.1;
y1024		Q0WCC2	Q0WCC2_YERPE	unreviewed	Putative polymerase/proteinase	y1024 C6P89_06925	Yersinia pestis	WP_002208646.1;
y1031		A0A1U8QLB5	A0A1U8QLB5_YERPE	unreviewed	Uncharacterized protein	Y1031 C6P89_16070	Yersinia pestis	WP_002228788.1;
y1031		Q0WCD0	Q0WCD0_YERPE	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	ppiD y1031 YP_0778 C6P89_06885	Yersinia pestis	WP_002208638.1;
y1049		A0A0H2W1D8	A0A0H2W1D8_YERPE	unreviewed	Efflux pump membrane transporter	acrB2 acrB y1049 YP_0798 C6P89_06780	Yersinia pestis	WP_002208616.1;
y1049		A0A1U8QS93	A0A1U8QS93_YERPE	unreviewed	Lambda host specificity protein J (Phage lambda-related host specificity protein J)	Y1049 YP_pMT007	Yersinia pestis	WP_002228780.1;
y1050		O68723	O68723_YERPE	unreviewed	Uncharacterized protein	Y1050 YP_pMT006	Yersinia pestis	
y1050		Q0WCF1	Q0WCF1_YERPE	unreviewed	Acridine efflux pump (Efflux RND transporter periplasmic adaptor subunit) (Multidrug efflux protein)	acrA acrA3 y1050 YP_0799 C6P89_06775	Yersinia pestis	WP_002208615.1;
y1170		Q8ZDH1	TATE_YERPE	reviewed	Probable Sec-independent protein translocase protein TatE	tatE YPO2597 y1170 YP_1117	Yersinia pestis	WP_002210319.1;YP_002347553.1;
y1175		A0A0H2W3P5	A0A0H2W3P5_YERPE	unreviewed	D-alanyl-D-alanine carboxypeptidase, fraction A (Putative penicillin-binding protein 5) (Serine-type D-Ala-D-Ala carboxypeptidase)	dacA y1175 YP_1112 C6P89_09820	Yersinia pestis	WP_002210323.1;
y1176		Q8ZDG6	RLPA_YERPE	reviewed	Endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-) (Rare lipoprotein A)	rlpA YPO2602 y1176 YP_1111	Yersinia pestis	WP_002210324.1;YP_002347558.1;
y1183		Q7CJV2	LPTE_YERPE	reviewed	LPS-assembly lipoprotein LptE	lptE rlpB YPO2609 y1183 YP_1104	Yersinia pestis	WP_002210332.1;YP_002347565.1;
y1186		Q0WDS0	Q0WDS0_YERPE	unreviewed	ATP-binding protein of glutamate/aspartate transport system	gltL y1186	Yersinia pestis	
y1203		Q0WDQ4	Q0WDQ4_YERPE	unreviewed	PTS N-acetyl glucosamine transporter subunit IIABC (PTS system, N-acetylglucosamine-specific enzyme IIABC) (Pts system, N-acetylglucosamine-specific IIABC component)	nagE y1203 YP_1085 C6P89_16855	Yersinia pestis	WP_002210353.1;
y1221		Q8D118	Q8D118_YERPE	unreviewed	ATP-binding component of high affinity transport system for glycine, betaine and proline (Glycine betaine/L-proline transport ATP-binding protein)	proV proV2 y1221 YP_2449	Yersinia pestis	
y1247		Q0WDL5	Q0WDL5_YERPE	unreviewed	Putative potassium channel (Putative potassium channel protein) (Voltage-gated potassium channel)	kch y1247 YP_2476 C6P89_06375	Yersinia pestis	WP_002212236.1;
y1296		Q0WDH4	Q0WDH4_YERPE	unreviewed	Signal peptidase I (EC 3.4.21.89)	lepB y1296 YP_2521 C6P89_06625	Yersinia pestis	WP_002209678.1;
y1314		Q8CLH8	Q8CLH8_YERPE	unreviewed	Uncharacterized protein	y1314 YP_2542	Yersinia pestis	
y1321		Q8ZCR0	HMP_YERPE	reviewed	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp fsrB hmp2 hmpA hmpX YPO2908 y1321 YP_2547	Yersinia pestis	WP_002211553.1;YP_002347842.1;
y1334		A0A0H2W6T5	A0A0H2W6T5_YERPE	unreviewed	Cysteine desulfurase IscS (EC 2.8.1.7)	nifS_2 iscS y1334 YP_2558 C6P89_10970	Yersinia pestis	WP_002209836.1;
y1346		Q8D0Z3	Q8D0Z3_YERPE	unreviewed	Putative autotransporter	yapA y1346	Yersinia pestis	
y1351		A0A0H2W6J0	A0A0H2W6J0_YERPE	unreviewed	Putative fimbrial biogenesis protein (Type IV pilus biogenesis/stability protein PilW)	pilF y1351 YP_2747 C6P89_10880	Yersinia pestis	WP_002209819.1;
y1353		P58672	ISPG_YERPE	reviewed	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG gcpE YPO2879 y1353 YP_2745	Yersinia pestis	WP_002209817.1;YP_002347814.1;
y1355		A0A0H2W6C2	A0A0H2W6C2_YERPE	unreviewed	Putative membrane protein	y1355 YP_2743 C6P89_10860	Yersinia pestis	WP_002209815.1;
y1356		Q7CJM5	BAMB_YERPE	reviewed	Outer membrane protein assembly factor BamB	bamB YPO2876 y1356 YP_2742	Yersinia pestis	WP_002209814.1;YP_002347811.1;
y1376		P58483	Y2857_YERPE	reviewed	Uncharacterized protein YPO2857/y1376/YP_2723	YPO2857 y1376 YP_2723	Yersinia pestis	WP_002227858.1;YP_002347793.1;
y1401		Q8ZCX5	PSTB1_YERPE	reviewed	Phosphate import ATP-binding protein PstB 1 (EC 3.6.3.27) (ABC phosphate transporter 1) (Phosphate-specific transport component 1) (Phosphate-transporting ATPase 1)	pstB1 YPO2833 y1401 YP_2700	Yersinia pestis	WP_002209780.1;YP_002347771.1;
y1412		Q8ZCC3	BEPA_YERPE	reviewed	Beta-barrel assembly-enhancing protease (EC 3.4.-.-)	bepA YPO3069 y1412 YP_2691	Yersinia pestis	WP_002208564.1;YP_002347989.1;
y1432		Q8D0X9	Q8D0X9_YERPE	unreviewed	Putative ABC-transporter, ATP-binding protein (Spermidine/putrescine transport ATP-binding protein)	potA y1432 YP_2670	Yersinia pestis	
y1469		Q8D0W8	CYSA_YERPE	reviewed	Sulfate/thiosulfate import ATP-binding protein CysA (EC 3.6.3.25) (Sulfate-transporting ATPase)	cysA YPO3012 y1469 YP_2636	Yersinia pestis	WP_002208509.1;YP_002347934.1;
y1491		P58492	ZIPA_YERPE	reviewed	Cell division protein ZipA	zipA YPO2990 y1491 YP_2615	Yersinia pestis	WP_002227089.1;YP_002347914.1;
y1524		Q8ZCM2	FBPC_YERPE	reviewed	Fe(3+) ions import ATP-binding protein FbpC (EC 3.6.3.30)	fbpC YPO2960 y1524 YP_2586	Yersinia pestis	WP_002211598.1;YP_002347885.1;
y1527		Q0WCV6	Q0WCV6_YERPE	unreviewed	Membrane-bound lytic murein transglycosylase B (Murein transglycosylase B) (Putative membrane-bound lytic murein transglycosylase B)	mltB mltB2 y1527 YP_2583 C6P89_12620	Yersinia pestis	WP_002227842.1;
y1576		Q8D0V1	Q8D0V1_YERPE	unreviewed	Lipoprotein	vacJ y1576 YP_2421	Yersinia pestis	
y1580		Q8ZD45	FADJ_YERPE	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ YPO2747 y1580 YP_2417	Yersinia pestis	YP_002347694.1;
y1603		Q8D0T9	Q8D0T9_YERPE	unreviewed	Cell division protein DedD	dedD y1603 YP_2394	Yersinia pestis	
y1673		Q0WE10	Q0WE10_YERPE	unreviewed	ATP-binding component of glutamine high-affinity glutamine ABC transport system (Glutamine ABC transporter ATP-binding protein) (Putative glutamine transport ATP-binding protein)	glnQ glnQ3 y1673 YP_2329 C6P89_08425	Yersinia pestis	WP_002210237.1;
y1767		Q0WGG9	Q0WGG9_YERPE	unreviewed	PTS glucose transporter subunit IIBC (PTS system, glucose-specific IIBC component)	ptsG y1767 YP_2246 C6P89_21875	Yersinia pestis	WP_002213085.1;
y1786		Q8ZFR4	LOLD_YERPE	reviewed	Lipoprotein-releasing system ATP-binding protein LolD (EC 3.6.3.-)	lolD YPO1627 y1786 YP_1756	Yersinia pestis	WP_002210923.1;YP_002346638.1;
y1795		Q0WGE2	Q0WGE2_YERPE	unreviewed	Lipoprotein (Putative lipoprotein)	y1795 YP_1765 C6P89_05800	Yersinia pestis	WP_002210916.1;
y1852		A0A0H2W4F2	A0A0H2W4F2_YERPE	unreviewed	Lipoprotein (Putative lipoprotein)	rssA1 y1852 YP_1819 C6P89_05545	Yersinia pestis	WP_002210864.1;
y1863		Q8D0N9	Q8D0N9_YERPE	unreviewed	Paraquat-inducible protein B	pqiB2 y1863 YP_1726	Yersinia pestis	
y1867		Q8D0N7	Q8D0N7_YERPE	unreviewed	Carboxy-terminal protease for penicillin-binding protein 3 (Tail-specific protease)	prc y1867 YP_1730	Yersinia pestis	
y1877		A0A0H2W5K5	A0A0H2W5K5_YERPE	unreviewed	N-acetylmuramoyl-L-alanine amidase (Putative N-acetylmuramoyl-L-alanine amidase) (Putative regulator)	ampD2 y1877 YP_1740 C6P89_14665	Yersinia pestis	WP_002210839.1;
y1878		Q0WG69	Q0WG69_YERPE	unreviewed	Putative symporter	y1878	Yersinia pestis	WP_010981403.1;
y1896		Q56953	YFEB_YERPE	reviewed	Chelated iron transport system membrane protein YfeB	yfeB YPO2440 y1896 YP_2228	Yersinia pestis	WP_002211843.1;YP_002347404.1;
y1919		Q8ZDX8	ARNA_YERPE	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA YPO2420 y1919 YP_2207	Yersinia pestis	WP_002211823.1;YP_002347383.1;
y1926		Q8ZDY2	LPLA_YERPE	reviewed	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	lplA YPO2414 y1926 YP_2200	Yersinia pestis	WP_002211816.1;YP_002347377.1;
y1928		Q0WEB2	Q0WEB2_YERPE	unreviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroH y1928 YP_2198 C6P89_12145	Yersinia pestis	WP_002211815.1;
y1962		Q0WEE9	Q0WEE9_YERPE	unreviewed	Lipoprotein (Putative lipoprotein) (Putative outer membrane protein)	slyB y1962 YP_2159 C6P89_20155	Yersinia pestis	WP_002210956.1;
y1988		Q8D0K9	Q8D0K9_YERPE	unreviewed	Transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport	tyrR y1988	Yersinia pestis	
y2003		Q0WEJ1	Q0WEJ1_YERPE	unreviewed	Heat shock protein HslJ (Heat-inducible protein) (Putative heat shock protein)	hslJ y2003 YP_2116 C6P89_19175	Yersinia pestis	WP_002214605.1;
y2010		Q8ZE60	AZOR_YERPE	reviewed	FMN-dependent NADH-azoreductase (EC 1.7.-.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase)	azoR YPO2323 y2010 YP_2110	Yersinia pestis	WP_002211004.1;YP_002347290.1;
y2037		Q0WEX2	Q0WEX2_YERPE	unreviewed	Protein TonB	tonB y2037 YP_1992 C6P89_19970	Yersinia pestis	WP_002210642.1;
y2044		Q8D0J8	Q8D0J8_YERPE	unreviewed	Putative outer membrane protein	y2044	Yersinia pestis	
y2045		Q0WEW5	Q0WEW5_YERPE	unreviewed	Lipoprotein (Putative lipoprotein)	osmY1 y2045 YP_2000 C6P89_01190	Yersinia pestis	WP_002210636.1;
y2047		Q8ZEH0	TRPA_YERPE	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA YPO2203 y2047 YP_2001	Yersinia pestis	WP_002210634.1;YP_002347174.1;
y2104		Q8D0I4	Q8D0I4_YERPE	unreviewed	Uncharacterized protein	y2104	Yersinia pestis	
y2134		Q0WEL9	Q0WEL9_YERPE	unreviewed	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	pntB y2134 YP_2087 C6P89_00745	Yersinia pestis	WP_002211020.1;
y2135		Q0WEL8	Q0WEL8_YERPE	unreviewed	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2)	pntA y2135 YP_2088 C6P89_00740	Yersinia pestis	WP_002211019.1;
y2160		Q0WF01	Q0WF01_YERPE	unreviewed	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV) (Signal peptide peptidase)	sppA y2160	Yersinia pestis	WP_002211674.1;
y2233		A0A0H2W4W8	A0A0H2W4W8_YERPE	unreviewed	Site-determining protein	minD y2233 YP_1920 C6P89_09505	Yersinia pestis	WP_002211179.1;
y2234		Q8ZES7	MINE_YERPE	reviewed	Cell division topological specificity factor	minE YPO2076 y2234 YP_1919	Yersinia pestis	WP_002211180.1;YP_002347058.1;
y2237		Q8D0F6	Q8D0F6_YERPE	unreviewed	Putative outer membrane protein	slp y2237 YP_1916	Yersinia pestis	
y2263		Q8ZEV5	CUTC_YERPE	reviewed	Copper homeostasis protein CutC	cutC YPO2048 y2263 YP_1891	Yersinia pestis	WP_002211209.1;YP_002347030.1;
y2270		Q0WFB4	Q0WFB4_YERPE	unreviewed	UPF0502 protein y2270	mviM3 y2270 YP_1885 C6P89_09705	Yersinia pestis	WP_002211215.1;
y2292		Q8ZEY0	LOLB_YERPE	reviewed	Outer-membrane lipoprotein LolB	lolB hemM YPO2015 y2292 YP_1863	Yersinia pestis	WP_002224468.1;YP_002347001.1;
y2315		A0A0H2W4H9	A0A0H2W4H9_YERPE	unreviewed	Uncharacterized protein	y2315 YP_1842 C6P89_13960	Yersinia pestis	WP_002211259.1;
y2364		A0A1U8QN20	A0A1U8QN20_YERPE	unreviewed	ABC transporter ATP-binding protein (ABC transporter, ATP-binding protein)	phnL4 y2364 YP_1690 C6P89_15495	Yersinia pestis	WP_002212049.1;
y2396		A0A1U8QVE0	A0A1U8QVE0_YERPE	unreviewed	ABC transporter ATP-binding protein (Inner membrane ABC-transporter YbtQ) (Permease and ATP-binding protein of yersiniabactin-iron ABC transporter)	ybtQ y2396 YP_1657 C6P89_10110	Yersinia pestis	WP_002212761.1;
y2397		A0A1U8QH65	A0A1U8QH65_YERPE	unreviewed	ABC transporter ATP-binding protein (Permease and ATP-binding protein of yersiniabactin-iron ABC transporter)	ybtP y2397 YP_1656 C6P89_10105	Yersinia pestis	WP_000098391.1;
y2452		Q0WFU0	EFEU_YERPE	reviewed	Ferrous iron permease EfeU (Fe(2+) ion permease EfeU) (Ferrous iron uptake protein)	efeU fTR11 YPO1854 y2452 YP_1539	Yersinia pestis	WP_002211165.1;YP_002346848.1;
y2552		Q8D093	Q8D093_YERPE	unreviewed	PTS enzyme IIC, mannose-specific (PTS system, mannose-specific IIC component)	manY y2552 YP_1635	Yersinia pestis	
y2553		A0A0H2W4X8	A0A0H2W4X8_YERPE	unreviewed	PTS enzyme IID, mannose-specific (PTS system, mannose-specific IID component)	manZ y2553 YP_1636	Yersinia pestis	WP_002221010.1;
y2596		Q8ZFV8	LLDD_YERPE	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD YPO1569 y2596 YP_1457	Yersinia pestis	WP_002211919.1;YP_002346582.1;
y2633		A0A0H2W4I5	A0A0H2W4I5_YERPE	unreviewed	Putative iron-siderophore receptor (Putative outer membrane iron/siderophore receptor) (TonB-dependent siderophore receptor)	ysuR y2633 YP_1426 C6P89_13085	Yersinia pestis	WP_002211883.1;
y2644		Q0WGP6	Q0WGP6_YERPE	unreviewed	Outer membrane assembly protein AsmA (Suppressor of ompF assembly mutants)	asmA y2644 C6P89_13030	Yersinia pestis	WP_002211874.1;
y2647		A0A0H2W3M4	A0A0H2W3M4_YERPE	unreviewed	Iron-sulfur cluster carrier protein	mrp y2647 YP_1412 C6P89_13015	Yersinia pestis	WP_002211871.1;
y2661		Q7CHQ3	MGLA_YERPE	reviewed	Galactose/methyl galactoside import ATP-binding protein MglA (EC 3.6.3.17)	mglA YPO1508 y2661 YP_1398	Yersinia pestis	WP_002211964.1;YP_002346524.1;
y2677		Q8D068	Q8D068_YERPE	unreviewed	Putative ATP-binding component of ABC transport system	uup3 y2677 YP_1381	Yersinia pestis	
y2731		A0A0H2W3E9	A0A0H2W3E9_YERPE	unreviewed	Putative membrane protein (YccF domain-containing protein)	y2731 YP_1330 C6P89_17405	Yersinia pestis	WP_002213062.1;
y2747		Q8D053	Q8D053_YERPE	unreviewed	Paraquat-inducible protein B	pqiB pqiB1 y2747 YP_1172	Yersinia pestis	
y2750		Q8D052	Q8D052_YERPE	unreviewed	Putative ATP-binding component of ABC transport system	uup y2750	Yersinia pestis	
