Data Name	Localization	Type	Date	Nb proteins	Growth	TimePoint	ÎçC	Mutant	Media	MediaGrowthProperties	Reference	Strain used	Strain array	Comment
48C_30min_60C_9min_2009_F2380	Membrane & Cytoplasm	Proteome	10/11/09	20	Exp phase	"30min;9min"	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
4C_2010_EGDe	Membrane & Cytoplasm	Proteome	23/06/10	216	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
4C_Cold_Osmotic_2014_EGDe	Membrane & Cytoplasm	Proteome	24/02/14	31	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
4C_Salt_Cold_Osmotic_2014_EGDe	Membrane & Cytoplasm	Proteome	24/02/14	11	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
5h_Macrophages_2011_EGDe	Membrane & Cytoplasm	Proteome	11/05/11	21	Exp phase	5h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
5h_Macrophages_2011_F2365	Membrane & Cytoplasm	Proteome	11/05/11	41	Exp phase	5h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
5h_Macrophages_2011_HCC23	Membrane & Cytoplasm	Proteome	11/05/11	44	Exp phase	5h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
60C_9min_2009_F2380	Membrane & Cytoplasm	Proteome	10/11/09	23	Exp phase	9min	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
60C_Heatshock_2009_F2380	Membrane & Cytoplasm	Proteome	10/11/09	30	Exp phase	0min	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
BHI_2009_EGD	Membrane & Cytoplasm	Proteome	10/12/09	22	Stationary phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
BHI_Secretion_2014_EGDe	Membrane & Cytoplasm	Proteome	23/07/14	58	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Biofilm_BHI_2012_EGDe	Membrane & Cytoplasm	Proteome	10/07/12	61	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Biofilm_MEM_2012_EGDe	Membrane & Cytoplasm	Proteome	10/07/12	29	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Blood_2009_EGD	Membrane & Cytoplasm	Proteome	10/12/09	18	Stationary phase	1h	37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
CellWall_2004_EGDe	Membrane & Cytoplasm	Proteome	24/06/04	14	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
CellWall_2004_Innocua	Membrane & Cytoplasm	Proteome	24/06/04	23	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Cytoplasmic_SM3_2015_EGDe	Membrane & Cytoplasm	Proteome	09/01/15	30	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
EGDe_TIS_Final	Membrane & Cytoplasm	NTerm	24/06/14	17	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Exoproteome_2010_EGDe	Membrane & Cytoplasm	Proteome	01/10/10	19	Stationary phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Exoproteome_20C_2013_EGDe	Membrane & Cytoplasm	Proteome	27/03/13	26	Exp phase		37	SOR17			Kakoschke T, Kakoschke S, Magistro G, Schubert S, Borath M, Heesemann J, Rossier O. The RNA chaperone Hfq impacts growth, metabolism and production of virulence factors in Yersinia enterocolitica. PLoS One. 2014 Jan 15;9(1):e86113. eCollection 2014 PubMed: 24454955	Yersinia enterocolitica SOR17 	Yersinia enterocolitica SOR17 	Soluble proteins fraction & other
Exoproteome_37C_2013_EGDe	Periplasmic	Proteome	27/03/13	987	Exp phase						Not Yet	Y. Pestis KIM	Y. Pestis KIM	
Extracellular_BHI_2011_EGDe	Cytoplasm	Proteome	16/08/11	703	Exp phase						Not Yet	Y. Pestis KIM	Y. Pestis KIM	
Extracellular_IMM_2011_EGDe	Membrane	Proteome	16/08/11	841	Exp phase						Not Yet	Y. Pestis KIM	Y. Pestis KIM	
F2365_Attached_25C_2015_EGDe	Membrane	Proteome	17/12/14	618	Exp phase						Not Yet	Y. Pestis KIM	Y. Pestis KIM	
F2365_Attached_25C_2015_F2365	Membrane	Proteome	17/12/14	442	Exp phase						Not Yet	Y. Pestis KIM	Y. Pestis KIM	
F2365_Attached_37C_2015_EGDe	Membrane proteome	Proteome	17/12/14	?	Exp phase						Schrimpe-Rutledge AC, Jones MB, Chauhan S, Purvine SO, Sanford JA, Monroe ME, Brewer HM, Payne SH, Ansong C, Frank BC, Smith RD, Peterson SN, Motin VL, Adkins JN; Comparative omics-driven genome annotation refinement: application across Yersiniae., PLoS One, 2012, 7, 3, e33903, PubMed: 22479471	Y. Pestis & Y. Pseudotuberculosis	Y. Pestis & Y. Pseudotuberculosis	
F2365_Attached_37C_2015_F2365	Membrane	Proteome	17/12/14	1630	Exp phase						Payne SH, Monroe ME, Overall CC, Kiebel GR, Degan M, Gibbons BC, Fujimoto GM, Purvine SO, Adkins JN, Lipton MS, Smith RD. The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity. Sci Data. Epub 2015 Aug 18.	Yersinia enterocolitica	Yersinia enterocolitica	
F2365_Planktonic_25C_2015_EGDe	Membrane	Proteome	17/12/14	2302	Exp phase						Payne SH, Monroe ME, Overall CC, Kiebel GR, Degan M, Gibbons BC, Fujimoto GM, Purvine SO, Adkins JN, Lipton MS, Smith RD. The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity. Sci Data. Epub 2015 Aug 18.	Y. Pestis CO92	Y. Pestis CO92	
F2365_Planktonic_25C_2015_F2365	Periplasmic proteome	Proteome	17/12/14	1371	Exp phase						Payne SH, Monroe ME, Overall CC, Kiebel GR, Degan M, Gibbons BC, Fujimoto GM, Purvine SO, Adkins JN, Lipton MS, Smith RD. The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity. Sci Data. Epub 2015 Aug 18.	Y. Pestis KIM	Y. Pestis KIM	
F2365_Planktonic_37C_2015_EGDe	Periplasmic proteome	Proteome	17/12/14	2153	Exp phase						Payne SH, Monroe ME, Overall CC, Kiebel GR, Degan M, Gibbons BC, Fujimoto GM, Purvine SO, Adkins JN, Lipton MS, Smith RD. The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity. Sci Data. Epub 2015 Aug 18.	Y. Pestis PestoÔdes F	Y. Pestis PestoÔdes F	
F2365_Planktonic_37C_2015_F2365	Membrane & Cytoplasm	Proteome	17/12/14	2166	Exp phase						Payne SH, Monroe ME, Overall CC, Kiebel GR, Degan M, Gibbons BC, Fujimoto GM, Purvine SO, Adkins JN, Lipton MS, Smith RD. The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity. Sci Data. Epub 2015 Aug 18.	Y. Pseudotuberculosis IP32953	Y. Pseudotuberculosis IP32953	
Intracellular_Jeg3_2011_EGDe	Membrane & Cytoplasm	Proteome	16/08/11	2029	Exp phase						Payne SH, Monroe ME, Overall CC, Kiebel GR, Degan M, Gibbons BC, Fujimoto GM, Purvine SO, Adkins JN, Lipton MS, Smith RD. The Pacific Northwest National Laboratory library of bacterial and archaeal proteomic biodiversity. Sci Data. Epub 2015 Aug 18.	Y. Pseudotuberculosis PB1+	Y. Pseudotuberculosis PB1+	
