yourlist:M20180720A7434721E10EE6586998A056CCD0537E9501E8Y	isomap:M20180720A7434721E10EE6586998A056CCD0537E9501E8Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPDSF_0133		A4TGZ2	RL3_YERPP	reviewed	50S ribosomal protein L3	rplC YPDSF_0133	Yersinia pestis (strain Pestoides F)	WP_002218932.1;
YPDSF_0134		A4TGZ3	RL4_YERPP	reviewed	50S ribosomal protein L4	rplD YPDSF_0134	Yersinia pestis (strain Pestoides F)	WP_002218934.1;
YPDSF_0136		A4TGZ5	RL2_YERPP	reviewed	50S ribosomal protein L2	rplB YPDSF_0136	Yersinia pestis (strain Pestoides F)	WP_002213425.1;
YPDSF_0137		A4TGZ6	RS19_YERPP	reviewed	30S ribosomal protein S19	rpsS YPDSF_0137	Yersinia pestis (strain Pestoides F)	WP_002213430.1;
YPDSF_0138		A4TGZ7	RL22_YERPP	reviewed	50S ribosomal protein L22	rplV YPDSF_0138	Yersinia pestis (strain Pestoides F)	WP_002223844.1;
YPDSF_0139		A4TGZ8	RS3_YERPP	reviewed	30S ribosomal protein S3	rpsC YPDSF_0139	Yersinia pestis (strain Pestoides F)	WP_002221644.1;
YPDSF_0140		A4TGZ9	RL16_YERPP	reviewed	50S ribosomal protein L16	rplP YPDSF_0140	Yersinia pestis (strain Pestoides F)	WP_002218940.1;
YPDSF_0141		A4TH00	RL29_YERPP	reviewed	50S ribosomal protein L29	rpmC YPDSF_0141	Yersinia pestis (strain Pestoides F)	WP_002218942.1;
YPDSF_0142		A4TH01	RS17_YERPP	reviewed	30S ribosomal protein S17	rpsQ YPDSF_0142	Yersinia pestis (strain Pestoides F)	WP_002228135.1;
YPDSF_0143		A4TH02	RL14_YERPP	reviewed	50S ribosomal protein L14	rplN YPDSF_0143	Yersinia pestis (strain Pestoides F)	WP_002213325.1;
YPDSF_0144		A4TH03	RL24_YERPP	reviewed	50S ribosomal protein L24	rplX YPDSF_0144	Yersinia pestis (strain Pestoides F)	WP_002213327.1;
YPDSF_0145		A4TH04	RL5_YERPP	reviewed	50S ribosomal protein L5	rplE YPDSF_0145	Yersinia pestis (strain Pestoides F)	WP_002213329.1;
YPDSF_0146		A4TH05	RS14_YERPP	reviewed	30S ribosomal protein S14	rpsN YPDSF_0146	Yersinia pestis (strain Pestoides F)	WP_002213330.1;
YPDSF_0147		A4TH06	RS8_YERPP	reviewed	30S ribosomal protein S8	rpsH YPDSF_0147	Yersinia pestis (strain Pestoides F)	WP_002213332.1;
YPDSF_0148		A4TH07	RL6_YERPP	reviewed	50S ribosomal protein L6	rplF YPDSF_0148	Yersinia pestis (strain Pestoides F)	WP_002213334.1;
YPDSF_0149		A4TH08	RL18_YERPP	reviewed	50S ribosomal protein L18	rplR YPDSF_0149	Yersinia pestis (strain Pestoides F)	WP_002213336.1;
YPDSF_0150		A4TH09	RS5_YERPP	reviewed	30S ribosomal protein S5	rpsE YPDSF_0150	Yersinia pestis (strain Pestoides F)	WP_002213337.1;
YPDSF_0151		A4TH10	RL15_YERPP	reviewed	50S ribosomal protein L15	rplO YPDSF_0151	Yersinia pestis (strain Pestoides F)	WP_002213341.1;
YPDSF_0153		A4TH12	RS13_YERPP	reviewed	30S ribosomal protein S13	rpsM YPDSF_0153	Yersinia pestis (strain Pestoides F)	WP_002213346.1;
YPDSF_0154		A4TH13	RS11_YERPP	reviewed	30S ribosomal protein S11	rpsK YPDSF_0154	Yersinia pestis (strain Pestoides F)	WP_002218948.1;
YPDSF_0155		A4TH14	RS4_YERPP	reviewed	30S ribosomal protein S4	rpsD YPDSF_0155	Yersinia pestis (strain Pestoides F)	WP_002218949.1;
YPDSF_0156		A4TH15	RPOA_YERPP	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA YPDSF_0156	Yersinia pestis (strain Pestoides F)	WP_002209013.1;
YPDSF_0157		A4TH16	RL17_YERPP	reviewed	50S ribosomal protein L17	rplQ YPDSF_0157	Yersinia pestis (strain Pestoides F)	WP_002209014.1;
YPDSF_0160		A4TH19	MSCL_YERPP	reviewed	Large-conductance mechanosensitive channel	mscL YPDSF_0160	Yersinia pestis (strain Pestoides F)	WP_002209017.1;
YPDSF_0162		A4TH21	RSMB_YERPP	reviewed	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB sun YPDSF_0162	Yersinia pestis (strain Pestoides F)	WP_002215705.1;
YPDSF_0163		A4TH22	FMT_YERPP	reviewed	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt YPDSF_0163	Yersinia pestis (strain Pestoides F)	WP_002209020.1;
YPDSF_0164		A4TH23	DEF_YERPP	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def YPDSF_0164	Yersinia pestis (strain Pestoides F)	WP_002209021.1;
YPDSF_0168		A4TH27	TSAC_YERPP	reviewed	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC rimN YPDSF_0168	Yersinia pestis (strain Pestoides F)	WP_002209025.1;
YPDSF_0169		A4TH28	AROE_YERPP	reviewed	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE YPDSF_0169	Yersinia pestis (strain Pestoides F)	WP_002209026.1;
YPDSF_0171		A4TH30	METAS_YERPP	reviewed	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)	metAS YPDSF_0171	Yersinia pestis (strain Pestoides F)	WP_002212076.1;
YPDSF_0182		A4TH39	G6PI_YERPP	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi YPDSF_0182	Yersinia pestis (strain Pestoides F)	WP_002212085.1;
YPDSF_0189		A4TH46	LAMB1_YERPP	reviewed	Maltoporin 1 (Maltose-inducible porin 1)	lamB1 YPDSF_0189	Yersinia pestis (strain Pestoides F)	WP_002212092.1;
YPDSF_0232		A4TH89	SSUD_YERPP	reviewed	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase)	ssuD YPDSF_0232	Yersinia pestis (strain Pestoides F)	WP_002210034.1;
YPDSF_0260		A4THB7	FIS_YERPP	reviewed	DNA-binding protein Fis	fis YPDSF_0260	Yersinia pestis (strain Pestoides F)	WP_002210061.1;
YPDSF_0267		A4THC4	AROQ_YERPP	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ YPDSF_0267	Yersinia pestis (strain Pestoides F)	WP_002210071.1;
YPDSF_0298		A4THF5	Y298_YERPP	reviewed	UPF0307 protein YPDSF_0298	YPDSF_0298	Yersinia pestis (strain Pestoides F)	WP_002210099.1;
YPDSF_0308		A4THG5	PYRI_YERPP	reviewed	Aspartate carbamoyltransferase regulatory chain	pyrI YPDSF_0308	Yersinia pestis (strain Pestoides F)	
YPDSF_0309		A4THG6	PYRB_YERPP	reviewed	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB YPDSF_0309	Yersinia pestis (strain Pestoides F)	WP_002210111.1;
YPDSF_0311		A4THG8	RAPZ_YERPP	reviewed	RNase adapter protein RapZ	rapZ YPDSF_0311	Yersinia pestis (strain Pestoides F)	WP_002210113.1;
YPDSF_0328		A4THI5	MURA_YERPP	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA YPDSF_0328	Yersinia pestis (strain Pestoides F)	WP_002210127.1;
YPDSF_0334		A4THJ1	RL13_YERPP	reviewed	50S ribosomal protein L13	rplM YPDSF_0334	Yersinia pestis (strain Pestoides F)	WP_002210132.1;
YPDSF_0335		A4THJ2	RS9_YERPP	reviewed	30S ribosomal protein S9	rpsI YPDSF_0335	Yersinia pestis (strain Pestoides F)	WP_002210133.1;
YPDSF_0347		A4THK2	DIAA_YERPP	reviewed	DnaA initiator-associating protein DiaA	diaA YPDSF_0347	Yersinia pestis (strain Pestoides F)	WP_002210146.1;
YPDSF_0366		A4THL9	UXAC_YERPP	reviewed	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	uxaC YPDSF_0366	Yersinia pestis (strain Pestoides F)	WP_002210410.1;
YPDSF_0367		A4THM0	UXAB_YERPP	reviewed	Altronate oxidoreductase (EC 1.1.1.58) (Tagaturonate dehydrogenase) (Tagaturonate reductase)	uxaB YPDSF_0367	Yersinia pestis (strain Pestoides F)	WP_002210409.1;
YPDSF_0371		A4THM4	SSTT_YERPP	reviewed	Serine/threonine transporter SstT (Na(+)/serine-threonine symporter)	sstT YPDSF_0371	Yersinia pestis (strain Pestoides F)	
YPDSF_0375		A4THM8	RLMG_YERPP	reviewed	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.174) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmG)	rlmG YPDSF_0375	Yersinia pestis (strain Pestoides F)	WP_011906152.1;
YPDSF_0429		A4THT0	RS21_YERPP	reviewed	30S ribosomal protein S21	rpsU YPDSF_0429	Yersinia pestis (strain Pestoides F)	WP_001144069.1;
YPDSF_0430		A4THT1	TSAD_YERPP	reviewed	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp YPDSF_0430	Yersinia pestis (strain Pestoides F)	WP_002212201.1;
YPDSF_0431		A4THT2	PLSY_YERPP	reviewed	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase)	plsY YPDSF_0431	Yersinia pestis (strain Pestoides F)	WP_002217581.1;
YPDSF_0434		A4THT5	CCA_YERPP	reviewed	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	cca YPDSF_0434	Yersinia pestis (strain Pestoides F)	WP_002212197.1;
YPDSF_0437		A4THT8	GLNE_YERPP	reviewed	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]	glnE YPDSF_0437	Yersinia pestis (strain Pestoides F)	WP_002212194.1;
YPDSF_0438		A4THT9	HLDE_YERPP	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE YPDSF_0438	Yersinia pestis (strain Pestoides F)	WP_002212193.1;
YPDSF_0441		A4THU2	RIBB_YERPP	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB YPDSF_0441	Yersinia pestis (strain Pestoides F)	WP_002212190.1;
YPDSF_0560		A4TI58	MLTC_YERPP	reviewed	Membrane-bound lytic murein transglycosylase C (EC 4.2.2.n1) (Murein lyase C)	mltC YPDSF_0560	Yersinia pestis (strain Pestoides F)	WP_002209995.1;
YPDSF_0561		A4TI59	FETP_YERPP	reviewed	Probable Fe(2+)-trafficking protein	YPDSF_0561	Yersinia pestis (strain Pestoides F)	WP_002230648.1;
YPDSF_0563		A4TI61	TRMB_YERPP	reviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB YPDSF_0563	Yersinia pestis (strain Pestoides F)	WP_002209991.1;
YPDSF_0579		A4TI77	Y579_YERPP	reviewed	UPF0301 protein YPDSF_0579	YPDSF_0579	Yersinia pestis (strain Pestoides F)	WP_002209977.1;
YPDSF_0585		A4TI83	METK_YERPP	reviewed	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK YPDSF_0585	Yersinia pestis (strain Pestoides F)	WP_002209971.1;
YPDSF_0592		A4TI90	PGK_YERPP	reviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk YPDSF_0592	Yersinia pestis (strain Pestoides F)	WP_002209963.1;
YPDSF_0597		A4TI95	ARGP_YERPP	reviewed	HTH-type transcriptional regulator ArgP	argP iciA YPDSF_0597	Yersinia pestis (strain Pestoides F)	WP_002209958.1;
YPDSF_0603		A4TIA1	Y603_YERPP	reviewed	UPF0149 protein YPDSF_0603	YPDSF_0603	Yersinia pestis (strain Pestoides F)	WP_002209953.1;
YPDSF_0607		A4TIA5	GCST_YERPP	reviewed	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT YPDSF_0607	Yersinia pestis (strain Pestoides F)	WP_002209949.1;
YPDSF_0608		A4TIA6	GCSH_YERPP	reviewed	Glycine cleavage system H protein	gcvH YPDSF_0608	Yersinia pestis (strain Pestoides F)	WP_002209948.1;
YPDSF_0609		A4TIA7	GCSP_YERPP	reviewed	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP YPDSF_0609	Yersinia pestis (strain Pestoides F)	WP_002209947.1;
YPDSF_0617		A4TIB4	YGFZ_YERPP	reviewed	tRNA-modifying protein YgfZ	YPDSF_0617	Yersinia pestis (strain Pestoides F)	WP_002209940.1;
YPDSF_0628		A4TIC5	SYK_YERPP	reviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS YPDSF_0628	Yersinia pestis (strain Pestoides F)	WP_002209930.1;
YPDSF_0717		A4TIL1	SYT_YERPP	reviewed	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS YPDSF_0717	Yersinia pestis (strain Pestoides F)	WP_002211836.1;
YPDSF_0719		A4TIL3	RL35_YERPP	reviewed	50S ribosomal protein L35	rpmI YPDSF_0719	Yersinia pestis (strain Pestoides F)	WP_002211834.1;
YPDSF_0720		A4TIL4	RL20_YERPP	reviewed	50S ribosomal protein L20	rplT YPDSF_0720	Yersinia pestis (strain Pestoides F)	WP_002211833.1;
YPDSF_0721		A4TIL5	SYFA_YERPP	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS YPDSF_0721	Yersinia pestis (strain Pestoides F)	WP_002211832.1;
YPDSF_0723		A4TIL7	IHFA_YERPP	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA himA YPDSF_0723	Yersinia pestis (strain Pestoides F)	WP_002211830.1;
YPDSF_0728		A4TIM2	ARNB_YERPP	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB YPDSF_0728	Yersinia pestis (strain Pestoides F)	WP_002211825.1;
YPDSF_0729		A4TIM3	ARNC_YERPP	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC YPDSF_0729	Yersinia pestis (strain Pestoides F)	WP_011192543.1;
YPDSF_0730		A4TIM4	ARNA_YERPP	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA YPDSF_0730	Yersinia pestis (strain Pestoides F)	WP_002211823.1;
YPDSF_0731		A4TIM5	ARND_YERPP	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD YPDSF_0731	Yersinia pestis (strain Pestoides F)	WP_002211822.1;
YPDSF_0732		A4TIM6	ARNT_YERPP	reviewed	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	arnT YPDSF_0732	Yersinia pestis (strain Pestoides F)	WP_002211821.1;
YPDSF_0736		A4TIN0	LPLA_YERPP	reviewed	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	lplA YPDSF_0736	Yersinia pestis (strain Pestoides F)	WP_002211816.1;
YPDSF_0737		A4TIN1	Y737_YERPP	reviewed	UPF0061 protein YPDSF_0737	YPDSF_0737	Yersinia pestis (strain Pestoides F)	WP_011192539.1;
YPDSF_0739		A4TIN3	PSRP_YERPP	reviewed	Putative phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	YPDSF_0739	Yersinia pestis (strain Pestoides F)	WP_002211814.1;
YPDSF_0748		A4TIP2	SUFS_YERPP	reviewed	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)	sufS YPDSF_0748	Yersinia pestis (strain Pestoides F)	WP_002211805.1;
YPDSF_0760		A4TIQ4	PURR_YERPP	reviewed	HTH-type transcriptional repressor PurR (Pur regulon repressor) (Purine nucleotide synthesis repressor)	purR YPDSF_0760	Yersinia pestis (strain Pestoides F)	WP_002210943.1;
YPDSF_0772		A4TIR6	SLYA_YERPP	reviewed	Transcriptional regulator SlyA	slyA YPDSF_0772	Yersinia pestis (strain Pestoides F)	WP_002210955.1;
YPDSF_0774		A4TIR8	ANMK_YERPP	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK YPDSF_0774	Yersinia pestis (strain Pestoides F)	WP_002218322.1;
YPDSF_0777		A4TIS1	SYY_YERPP	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS YPDSF_0777	Yersinia pestis (strain Pestoides F)	WP_002210960.1;
YPDSF_0796		A4TIU0	Y796_YERPP	reviewed	UPF0283 membrane protein YPDSF_0796	YPDSF_0796	Yersinia pestis (strain Pestoides F)	WP_002210980.1;
YPDSF_0811		A4TIV5	TTCA_YERPP	reviewed	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA YPDSF_0811	Yersinia pestis (strain Pestoides F)	WP_002210992.1;
YPDSF_0823		A4TIW7	AZOR_YERPP	reviewed	FMN-dependent NADH-azoreductase (EC 1.7.-.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase)	azoR YPDSF_0823	Yersinia pestis (strain Pestoides F)	WP_002211004.1;
YPDSF_0829		A4TIX3	Y829_YERPP	reviewed	UPF0312 protein YPDSF_0829	YPDSF_0829	Yersinia pestis (strain Pestoides F)	WP_002211011.1;
YPDSF_0881		A4TJ19	ARAA_YERPP	reviewed	L-arabinose isomerase (EC 5.3.1.4)	araA YPDSF_0881	Yersinia pestis (strain Pestoides F)	WP_002210591.1;
YPDSF_0899		A4TJ37	RNB_YERPP	reviewed	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	rnb YPDSF_0899	Yersinia pestis (strain Pestoides F)	WP_002210605.1;
YPDSF_0907		A4TJ45	PYRF_YERPP	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF YPDSF_0907	Yersinia pestis (strain Pestoides F)	WP_002210613.1;
YPDSF_0927		A4TJ65	TRPD_YERPP	reviewed	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD YPDSF_0927	Yersinia pestis (strain Pestoides F)	WP_002215980.1;
YPDSF_0929		A4TJ67	TRPB_YERPP	reviewed	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB YPDSF_0929	Yersinia pestis (strain Pestoides F)	WP_002210633.1;
