Protein_ref	Protein_id
y0386	NP_667724.1
y0387	NP_667725.2
y0388	NP_667726.1
y0389	NP_667727.1
y0390	NP_667728.1
y0391	NP_667729.1
y0392	NP_667730.1
y0393	NP_667731.2
y0394	NP_667732.1
y0395	NP_667733.1
y0396	NP_667734.1
y0397	NP_667735.1
y0398	NP_667736.1
y0399	NP_667737.1
y0400	NP_667738.1
y0401	NP_667739.1
y0402	NP_667740.1
y0403	NP_667741.1
y0404	NP_667742.1
y0405	NP_667743.1
y0406	NP_667744.2
y0407	NP_667745.1
y0408	NP_667746.2
y0409	NP_667747.2
y0410	NP_667748.1
y0411	NP_667749.1
y0412	NP_667750.1
y0413	NP_667751.1
y0414	NP_667752.1
y0415	NP_667753.1
y0416	NP_667754.1
y0417	NP_667755.1
y0418	NP_667756.1
y0419	NP_667757.1
y0420	NP_667758.1
y0421	NP_667759.1
y0422	NP_667760.1
y0423	NP_667761.1
y0424	NP_667762.1
y0425	NP_667763.1
y0426	NP_667764.2
y0427	NP_667765.1
y0428	NP_667766.1
y0429	NP_667767.1
y0430	NP_667768.1
y0431	NP_667769.1
y0432	NP_667770.1
y0433	NP_667771.1
y0434	NP_667772.1
y0435	NP_667773.1
y0436	NP_667774.1
y0437	NP_667775.1
y0438	NP_667776.1
y0439	NP_667777.1
y0440	NP_667778.1
y0441	NP_667779.1
y0442	NP_667780.1
y0443	NP_667781.1
y0444	NP_667782.2
y0445	NP_667783.1
y0446	NP_667784.1
y0447	NP_667785.1
y0448	NP_667786.1
y0449	NP_667787.1
y0450	NP_667788.1
y0451	NP_667789.1
y0452	NP_667790.1
y0453	NP_667791.1
y0454	NP_667792.1
y0455	NP_667793.1
y0456	NP_667794.1
y0457	NP_667795.1
y0458	NP_667796.1
y0459	NP_667797.1
y0460	NP_667798.1
y0461	NP_667799.2
y0462	NP_667800.2
y0463	NP_667801.1
y0464	NP_667802.1
y0465	NP_667803.1
y0466	NP_667804.1
y0467	NP_667805.1
y0468	NP_667806.1
y0469	NP_667807.1
y0471	NP_667808.1
y0470	NP_667809.1
y0472	NP_667810.1
y0473	NP_667811.1
y0474	NP_667812.1
y0475	NP_667813.1
y0476	NP_667814.1
y0477	NP_667815.1
y0478	NP_667816.2
y0479	NP_667817.1
y0480	NP_667818.1
y0481	NP_667819.1
y0482	NP_667820.1
y0483	NP_667821.1
y0484	NP_667822.1
y0485	NP_667823.1
y0486	NP_667824.1
y0487	NP_667825.1
y0488	NP_667826.2
y0489	NP_667827.1
y0490	NP_667828.1
y0491	NP_667829.1
y0492	NP_667830.1
y0493	NP_667831.1
y0495	NP_667832.1
y0494	NP_667833.1
y0496	NP_667834.1
y0497	NP_667835.2
y0498	NP_667836.1
y0499	NP_667837.1
y0500	NP_667838.1
y0501	NP_667839.1
y0502	NP_667840.1
y0503	NP_667841.1
y0504	NP_667842.1
y0505	NP_667843.1
y0506	NP_667844.1
y0507	NP_667845.1
y0508	NP_667846.1
y0509	NP_667847.1
y0510	NP_667848.2
y0511	NP_667849.1
y0512	NP_667850.1
y0513	NP_667851.1
y0514	NP_667852.1
y0515	NP_667853.1
y0516	NP_667854.1
y0517	NP_667855.1
y0518	NP_667856.1
y0519	NP_667857.1
y0520	NP_667858.1
y0522	NP_667859.1
y0523	NP_667860.1
y0524	NP_667861.1
y0525	NP_667862.1
y0526	NP_667863.1
y0527	NP_667864.1
y0528	NP_667865.1
y0529	NP_667866.1
y0530	NP_667867.1
y0531	NP_667868.1
y0532	NP_667869.1
y0533	NP_667870.1
y0534	NP_667871.1
y0535	NP_667872.1
y0536	NP_667873.1
y0537	NP_667874.1
y0538	NP_667875.1
y0539	NP_667876.2
y0540	NP_667877.1
y0541	NP_667878.1
y0542	NP_667879.1
y0543	NP_667880.1
y0544	NP_667881.1
y0545	NP_667882.1
y0546	NP_667883.1
y0547	NP_667884.1
y0548	NP_667885.1
y0549	NP_667886.1
y0550	NP_667887.1
y0551	NP_667888.1
y0552	NP_667889.1
y0553	NP_667890.1
y0554	NP_667891.1
y0555	NP_667892.1
y0556	NP_667893.1
y0557	NP_667894.1
y0558	NP_667895.1
y0559	NP_667896.1
y0560	NP_667897.1
y0561	NP_667898.1
y0562	NP_667899.1
y0563	NP_667900.1
y0564	NP_667901.1
y0565	NP_667902.1
y0566	NP_667903.1
y0567	NP_667904.1
y0568	NP_667905.2
y0569	NP_667906.1
y0570	NP_667907.2
y0571	NP_667908.1
y0572	NP_667909.1
y0573	NP_667910.2
y0574	NP_667911.1
y0575	NP_667912.1
y0576	NP_667913.1
y0577	NP_667914.1
y0578	NP_667915.1
y0579	NP_667916.1
y0580	NP_667917.1
y0581	NP_667918.1
y0582	NP_667919.1
y0583	NP_667920.1
y0584	NP_667921.1
y0585	NP_667922.1
y0586	NP_667923.1
y0587	NP_667924.1
y0588	NP_667925.1
y0589	NP_667926.1
y0590	NP_667927.1
y0591	NP_667928.1
y0592	NP_667929.1
y0593	NP_667930.2
y0594	NP_667931.1
y0595	NP_667932.1
y0596	NP_667933.1
y0597	NP_667934.1
y0598	NP_667935.1
y0599	NP_667936.1
y0600	NP_667937.1
y0601	NP_667938.1
y0603	NP_667939.1
y0602	NP_667940.1
y0604	NP_667941.1
y0605	NP_667942.1
y0606	NP_667943.1
y0607	NP_667944.2
y0608	NP_667945.1
y0609	NP_667946.1
y0610	NP_667947.1
y0611	NP_667948.1
y0612	NP_667949.1
y0613	NP_667950.1
y0614	NP_667951.1
y0615	NP_667952.1
y0616	NP_667953.1
y0617	NP_667954.1
y0618	NP_667955.2
y0619	NP_667956.1
y0620	NP_667957.1
y0621	NP_667958.1
y0622	NP_667959.1
y0623	NP_667960.2
y0624	NP_667961.1
y0625	NP_667962.1
y0626	NP_667963.1
y0627	NP_667964.1
y0628	NP_667965.1
y0629	NP_667966.1
y0630	NP_667967.1
y0632	NP_667968.1
y0631	NP_667969.1
y0633	NP_667970.1
y0634	NP_667971.1
y0635	NP_667972.1
y0636	NP_667973.2
y0637	NP_667974.1
y0638	NP_667975.1
y0639	NP_667976.2
y0640	NP_667977.2
y0641	NP_667978.1
y0642	NP_667979.1
y0643	NP_667980.1
y0644	NP_667981.1
y0645	NP_667982.1
y0646	NP_667983.1
y0647	NP_667984.1
y0648	NP_667985.1
y0649	NP_667986.1
y0650	NP_667987.1
y0651	NP_667988.1
y0652	NP_667989.1
y0653	NP_667990.1
y0654	NP_667991.1
y0655	NP_667992.1
y0656	NP_667993.1
y0657	NP_667994.1
y0658	NP_667995.1
y0659	NP_667996.1
y0661	NP_667997.1
y0660	NP_667998.1
y0662	NP_667999.1
y0663	NP_668000.1
y0664	NP_668001.1
y0665	NP_668002.1
y0666	NP_668003.1
y0667	NP_668004.1
y0668	NP_668005.1
y0669	NP_668006.1
y0670	NP_668007.1
y0671	NP_668008.1
y0672	NP_668009.2
y0673	NP_668010.1
y0674	NP_668011.1
y0675	NP_668012.1
y0676	NP_668013.1
y0677	NP_668014.1
y0678	NP_668015.1
y0679	NP_668016.1
y0680	NP_668017.1
y0681	NP_668018.2
y0682	NP_668019.1
y0683	NP_668020.1
y0684	NP_668021.1
y0685	NP_668022.1
y0686	NP_668023.2
y0687	NP_668024.1
y0688	NP_668025.1
y0689	NP_668026.2
y0690	NP_668027.1
y0691	NP_668028.1
y0692	NP_668029.1
y0693	NP_668030.1
y0694	NP_668031.1
y0695	NP_668032.1
y0696	NP_668033.2
y0697	NP_668034.1
y0698	NP_668035.1
y0699	NP_668036.1
y0700	NP_668037.1
y0701	NP_668038.1
y0702	NP_668039.1
y0703	NP_668040.1
y0704	NP_668041.1
y0705	NP_668042.1
y0706	NP_668043.1
y0707	NP_668044.1
y0708	NP_668045.1
y0709	NP_668046.1
y0710	NP_668047.1
y0711	NP_668048.1
y0712	NP_668049.1
y0713	NP_668050.1
y0714	NP_668051.1
y0715	NP_668052.1
y0716	NP_668053.1
y0717	NP_668054.1
y0718	NP_668055.1
y0720	NP_668056.1
y0719	NP_668057.1
y0721	NP_668058.1
y0722	NP_668059.1
y0723	NP_668060.1
y0724	NP_668061.1
y0725	NP_668062.2
y0726	NP_668063.1
y0727	NP_668064.1
y0728	NP_668065.1
y0729	NP_668066.1
y0730	NP_668067.1
y0731	NP_668068.1
y0732	NP_668069.1
y0733	NP_668070.1
y0734	NP_668071.1
y0735	NP_668072.1
y0736	NP_668073.1
y0737	NP_668074.1
y0739	NP_668075.1
y0740	NP_668076.1
y0741	NP_668077.1
y0742	NP_668078.1
y0743	NP_668079.1
y0745	NP_668080.1
y0744	NP_668081.1
y0746	NP_668082.1
y0747	NP_668083.1
y0748	NP_668084.1
y0749	NP_668085.1
y0750	NP_668086.1
y0751	NP_668087.1
y0752	NP_668088.1
y0753	NP_668089.1
y0754	NP_668090.1
y0755	NP_668091.1
y0756	NP_668092.1
y0757	NP_668093.1
y0758	NP_668094.1
y0759	NP_668095.1
y0760	NP_668096.1
y0761	NP_668097.1
y0762	NP_668098.2
y0763	NP_668099.1
y0764	NP_668100.1
y0765	NP_668101.1
y0766	NP_668102.2
y0767	NP_668103.1
y0768	NP_668104.1
y0769	NP_668105.1
y0770	NP_668106.1
y0771	NP_668107.1
y0772	NP_668108.2
y0773	NP_668109.1
y0774	NP_668110.1
y0775	NP_668111.2
y0776	NP_668112.1
y0777	NP_668113.2
y0778	NP_668114.2
y0779	NP_668115.1
y0780	NP_668116.1
y0781	NP_668117.1
y0782	NP_668118.1
y0783	NP_668119.1
y0784	NP_668120.1
y0785	NP_668121.1
y0786	NP_668122.2
y0787	NP_668123.1
y0788	NP_668124.1
y0789	NP_668125.2
y0791	NP_668126.1
y0790	NP_668127.2
y0792	NP_668128.1
y0793	NP_668129.1
y0794	NP_668130.1
y0795	NP_668131.1
y0796	NP_668132.1
y0797	NP_668133.1
y0798	NP_668134.2
y0799	NP_668135.1
y0800	NP_668136.1
y0801	NP_668137.1
y0802	NP_668138.1
y0803	NP_668139.1
y0804	NP_668140.1
y0805	NP_668141.1
y0806	NP_668142.1
y0807	NP_668143.1
y0808	NP_668144.1
y0809	NP_668145.1
y0810	NP_668146.1
y0811	NP_668147.1
y0812	NP_668148.1
y0813	NP_668149.1
y0814	NP_668150.1
y0815	NP_668151.1
y0816	NP_668152.1
y0817	NP_668153.1
y0818	NP_668154.2
y0819	NP_668155.1
y0821	NP_668156.1
y0823	NP_668157.1
y0824	NP_668158.1
y0825	NP_668159.1
y0826	NP_668160.1
y0827	NP_668161.1
y0828	NP_668162.1
y0829	NP_668163.1
y0830	NP_668164.1
y0831	NP_668165.1
y0832	NP_668166.1
y0833	NP_668167.1
y0834	NP_668168.1
y0835	NP_668169.1
y0836	NP_668170.1
y0837	NP_668171.1
y0838	NP_668172.1
y0839	NP_668173.1
y0840	NP_668174.1
y0842	NP_668175.1
y0841	NP_668176.1
y0843	NP_668177.1
y0844	NP_668178.1
y0845	NP_668179.1
y0846	NP_668180.1
y0847	NP_668181.1
y0848	NP_668182.1
y0849	NP_668183.1
y0850	NP_668184.2
y0851	NP_668185.1
y0852	NP_668186.1
y0853	NP_668187.1
y0854	NP_668188.1
y0855	NP_668189.1
y0856	NP_668190.1
y0857	NP_668191.1
y0858	NP_668192.1
y0859	NP_668193.1
y0860	NP_668194.1
y0861	NP_668195.1
y0862	NP_668196.1
y0863	NP_668197.2
y0864	NP_668198.1
y0865	NP_668199.1
y0866	NP_668200.1
y0867	NP_668201.1
y0868	NP_668202.2
y0869	NP_668203.1
y0870	NP_668204.1
y0871	NP_668205.1
y0872	NP_668206.1
y0873	NP_668207.1
y0874	NP_668208.1
y0876	NP_668209.1
y0877	NP_668210.1
y0878	NP_668211.1
y0879	NP_668212.1
y0880	NP_668213.1
y0881	NP_668214.1
y0882	NP_668215.1
y0883	NP_668216.1
y0884	NP_668217.1
y0885	NP_668218.1
y0886	NP_668219.1
y0887	NP_668220.1
y0888	NP_668221.1
y0889	NP_668222.1
y0890	NP_668223.2
y0891	NP_668224.1
y0892	NP_668225.1
y0893	NP_668226.1
y0894	NP_668227.1
y0895	NP_668228.2
y0896	NP_668229.1
y0897	NP_668230.1
y0898	NP_668231.1
y0899	NP_668232.1
y0901	NP_668233.1
y0902	NP_668234.1
y0903	NP_668235.1
y0904	NP_668236.1
y0905	NP_668237.1
y0906	NP_668238.1
y0908	NP_668239.1
y0909	NP_668240.1
y0910	NP_668241.1
y0911	NP_668242.1
y0912	NP_668243.1
y0913	NP_668244.1
y0914	NP_668245.1
y0915	NP_668246.1
y0916	NP_668247.1
y0917	NP_668248.1
y0918	NP_668249.1
y0919	NP_668250.1
y0920	NP_668251.2
y0921	NP_668252.1
y0922	NP_668253.1
y0923	NP_668254.1
y0924	NP_668255.1
y0925	NP_668256.1
y0926	NP_668257.1
y0927	NP_668258.1
y0928	NP_668259.1
y0929	NP_668260.1
y0930	NP_668261.1
y0931	NP_668262.1
y0932	NP_668263.1
y0933	NP_668264.1
y0934	NP_668265.1
y0935	NP_668266.1
y0936	NP_668267.1
y0937	NP_668268.1
y0939	NP_668269.1
y0940	NP_668270.1
y0941	NP_668271.1
y0942	NP_668272.1
y0943	NP_668273.1
y0944	NP_668274.1
y0945	NP_668275.1
y0946	NP_668276.1
y0947	NP_668277.1
y0948	NP_668278.1
y0949	NP_668279.1
y0950	NP_668280.1
y0951	NP_668281.1
y0952	NP_668282.1
y0953	NP_668283.1
y0954	NP_668284.1
y0955	NP_668285.1
y0956	NP_668286.1
y0957	NP_668287.1
y0958	NP_668288.1
y0959	NP_668289.2
y0960	NP_668290.1
y0961	NP_668291.1
y0962	NP_668292.1
y0963	NP_668293.1
y0964	NP_668294.2
y0965	NP_668295.1
y0966	NP_668296.1
y0967	NP_668297.1
y0968	NP_668298.1
y0969	NP_668299.1
y0970	NP_668300.1
y0971	NP_668301.1
y0972	NP_668302.1
y0973	NP_668303.1
y0974	NP_668304.1
y0975	NP_668305.1
y0976	NP_668306.1
y0977	NP_668307.1
y0978	NP_668308.1
y0979	NP_668309.1
y0980	NP_668310.1
y0981	NP_668311.1
y0982	NP_668312.1
y0983	NP_668313.1
y0984	NP_668314.1
y0985	NP_668315.1
y0986	NP_668316.1
y0987	NP_668317.1
y0988	NP_668318.1
y0989	NP_668319.1
y0990	NP_668320.1
y0991	NP_668321.1
y0992	NP_668322.2
y0993	NP_668323.1
y0994	NP_668324.2
y0995	NP_668325.1
y0996	NP_668326.1
y0997	NP_668327.1
y0998	NP_668328.1
y0999	NP_668329.1
y1000	NP_668330.1
y1001	NP_668331.2
y1002	NP_668332.1
y1003	NP_668333.1
y1004	NP_668334.2
y1005	NP_668335.1
y1006	NP_668336.1
y1007	NP_668337.1
y1008	NP_668338.1
y1009	NP_668339.1
y1010	NP_668340.2
y1011	NP_668341.1
y1012	NP_668342.1
y1013	NP_668343.1
y1014	NP_668344.1
y1015	NP_668345.1
y1016	NP_668346.2
y1017	NP_668347.1
y1018	NP_668348.1
y1019	NP_668349.1
y1020	NP_668350.1
y1021	NP_668351.1
y1022	NP_668352.2
y1023	NP_668353.2
y1024	NP_668354.1
y1025	NP_668355.1
y1026	NP_668356.1
y1027	NP_668357.1
y1028	NP_668358.1
y1029	NP_668359.1
y1030	NP_668360.1
y1031	NP_668361.1
y1032	NP_668362.1
y1033	NP_668363.1
y1034	NP_668364.1
y1035	NP_668365.1
y1036	NP_668366.1
y1037	NP_668367.1
y1038	NP_668368.1
y1039	NP_668369.1
y1040	NP_668370.2
y1041	NP_668371.1
y1042	NP_668372.1
y1043	NP_668373.1
y1044	NP_668374.1
y1045	NP_668375.1
y1046	NP_668376.1
y1047	NP_668377.1
y1048	NP_668378.2
y1049	NP_668379.1
y1050	NP_668380.1
y1051	NP_668381.1
y1052	NP_668382.1
y1053	NP_668383.1
y1054	NP_668384.1
y1055	NP_668385.1
y1056	NP_668386.1
y1057	NP_668387.1
y1058	NP_668388.1
y1059	NP_668389.1
y1060	NP_668390.1
y1061	NP_668391.1
y1062	NP_668392.1
y1063	NP_668393.1
y1064	NP_668394.1
y1065	NP_668395.1
y1066	NP_668396.1
y1067	NP_668397.1
y1068	NP_668398.1
y1069	NP_668399.1
y1070	NP_668400.1
y1071	NP_668401.1
y1072	NP_668402.1
y1074	NP_668403.1
y1073	NP_668404.1
y1075	NP_668405.1
y1076	NP_668406.1
y1078	NP_668407.1
y1080	NP_668408.1
y1081	NP_668409.1
y1082	NP_668410.1
y1083	NP_668411.1
y1084	NP_668412.1
y1085	NP_668413.1
y1086	NP_668414.1
y1087	NP_668415.1
y1089	NP_668416.1
y1090	NP_668417.1
y1091	NP_668418.1
y1093	NP_668419.1
y1092	NP_668420.1
y1094	NP_668421.1
y1095	NP_668422.1
y1096	NP_668423.1
y1097	NP_668424.1
y1098	NP_668425.1
y1099	NP_668426.1
y1100	NP_668427.1
y1101	NP_668428.1
y1102	NP_668429.1
y1103	NP_668430.1
y1104	NP_668431.1
y1105	NP_668432.1
y1106	NP_668433.1
y1107	NP_668434.1
y1108	NP_668435.1
y1109	NP_668436.1
y1110	NP_668437.1
y1111	NP_668438.1
y1112	NP_668439.1
y1113	NP_668440.1
y1114	NP_668441.1
y1115	NP_668442.1
y1116	NP_668443.1
y1117	NP_668444.1
y1118	NP_668445.1
y1119	NP_668446.1
y1120	NP_668447.1
y1121	NP_668448.1
y1122	NP_668449.1
y1123	NP_668450.1
y1124	NP_668451.1
y1125	NP_668452.1
y1126	NP_668453.1
y1127	NP_668454.1
y1128	NP_668455.1
y1129	NP_668456.1
y1130	NP_668457.1
y1131	NP_668458.1
y1132	NP_668459.1
y1133	NP_668460.1
y1134	NP_668461.1
y1135	NP_668462.1
y1136	NP_668463.1
y1137	NP_668464.1
y1138	NP_668465.1
y1139	NP_668466.1
y1140	NP_668467.1
y1141	NP_668468.1
y1142	NP_668469.1
y1143	NP_668470.1
y1144	NP_668471.1
y1145	NP_668472.1
y1146	NP_668473.1
y1147	NP_668474.1
y1149	NP_668475.1
y1150	NP_668476.1
y1151	NP_668477.1
y1152	NP_668478.1
y1153	NP_668479.1
y1154	NP_668480.1
y1155	NP_668481.1
y1156	NP_668482.1
y1157	NP_668483.1
y1158	NP_668484.1
y1159	NP_668485.1
y1160	NP_668486.1
y1161	NP_668487.1
y1163	NP_668488.1
y1162	NP_668489.1
y1164	NP_668490.1
y1165	NP_668491.1
y1167	NP_668493.1
y1166	NP_668492.2
y1168	NP_668494.1
y1169	NP_668495.1
y1170	NP_668496.1
y1171	NP_668497.1
y1173	NP_668498.2
y1172	NP_668499.1
y1174	NP_668500.1
y1175	NP_668501.1
y1176	NP_668502.1
y1177	NP_668503.1
y1178	NP_668504.1
y1179	NP_668505.1
y1180	NP_668506.1
y1181	NP_668507.1
y1182	NP_668508.1
y1183	NP_668509.1
y1184	NP_668510.1
y1185	NP_668511.1
y1186	NP_668512.1
